Serial Number,Class Name,Class ID,file name,Relative file path,Sampling rate(Hz),Audio Duration(sec)
58,black,1,black58,black\black58,44100,1.02170068
59,black,1,black59,black\black59,44100,0.928820862
60,black,1,black60,black\black60,44100,0.835941043
61,black,1,black61,black\black61,44100,0.835941043
62,black,1,black62,black\black62,44100,1.02170068
63,black,1,black63,black\black63,44100,1.06814059
64,black,1,black64,black\black64,44100,0.928820862
65,black,1,black65,black\black65,44100,0.928820862
66,black,1,black66,black\black66,44100,1.06814059
67,black,1,black67,black\black67,44100,0.928820862
68,black,1,black68,black\black68,44100,0.882380952
69,black,1,black69,black\black69,44100,1.114580499
70,black,1,black70,black\black70,44100,1.300340136
71,black,1,black71,black\black71,44100,1.161020408
72,black,1,black72,black\black72,44100,1.02170068
73,black,1,black73,black\black73,44100,1.06814059
74,black,1,black74,black\black74,44100,0.975260771
75,black,1,black75,black\black75,44100,0.928820862
76,black,1,black76,black\black76,44100,0.928820862
77,black,1,black77,black\black77,44100,1.02170068
78,black,1,black78,black\black78,44100,1.393219955
79,black,1,black79,black\black79,44100,0.975260771
80,black,1,black80,black\black80,44100,0.975260771
81,black,1,black81,black\black81,44100,1.253900227
82,black,1,black82,black\black82,44100,1.114580499
83,black,1,black83,black\black83,44100,1.439659864
84,black,1,black84,black\black84,44100,1.161020408
85,black,1,black85,black\black85,44100,1.207460317
86,black,1,black86,black\black86,44100,0.743061224
87,black,1,black87,black\black87,44100,0.975260771
88,black,1,black88,black\black88,44100,1.114580499
89,black,1,black89,black\black89,44100,1.207460317
90,black,1,black90,black\black90,44100,1.207460317
91,black,1,black91,black\black91,44100,2.461337868
92,black,1,black92,black\black92,44100,0.975260771
93,black,1,black93,black\black93,44100,1.207460317
94,black,1,black94,black\black94,44100,1.06814059
95,black,1,black95,black\black95,44100,1.346780045
96,black,1,black96,black\black96,44100,1.253900227
97,black,1,black97,black\black97,44100,1.161020408
98,black,1,black98,black\black98,44100,1.346780045
99,black,1,black99,black\black99,44100,1.207460317
100,black,1,black100,black\black100,44100,1.114580499
101,black,1,black101,black\black101,44100,1.486099773
102,black,1,black102,black\black102,44100,1.06814059
103,black,1,black103,black\black103,44100,1.114580499
104,black,1,black104,black\black104,44100,1.393219955
105,black,1,black105,black\black105,44100,1.346780045
106,black,1,black106,black\black106,44100,1.346780045
107,black,1,black107,black\black107,44100,1.300340136
108,black,1,black108,black\black108,44100,1.02170068
109,black,1,black109,black\black109,44100,1.02170068
110,black,1,black110,black\black110,44100,1.161020408
111,black,1,black111,black\black111,44100,1.161020408
112,black,1,black112,black\black112,44100,1.06814059
113,black,1,black113,black\black113,44100,1.486099773
114,black,1,black114,black\black114,44100,1.02170068
115,black,1,black115,black\black115,44100,1.439659864
116,black,1,black116,black\black116,44100,0.975260771
117,black,1,black117,black\black117,44100,1.161020408
118,black,1,black118,black\black118,44100,0.975260771
119,black,1,black119,black\black119,44100,1.06814059
120,black,1,black120,black\black120,44100,0.975260771
121,black,1,black121,black\black121,44100,1.02170068
122,black,1,black122,black\black122,44100,1.161020408
123,black,1,black123,black\black123,44100,1.114580499
124,black,1,black124,black\black124,44100,1.06814059
125,black,1,black125,black\black125,44100,1.253900227
126,black,1,black126,black\black126,44100,1.161020408
127,black,1,black127,black\black127,44100,1.253900227
128,black,1,black128,black\black128,44100,0.928820862
129,black,1,black129,black\black129,44100,1.207460317
130,black,1,black130,black\black130,44100,0.975260771
131,black,1,black131,black\black131,44100,1.114580499
132,black,1,black132,black\black132,44100,1.114580499
133,black,1,black133,black\black133,44100,1.161020408
134,black,1,black134,black\black134,44100,1.161020408
135,black,1,black135,black\black135,44100,1.114580499
136,black,1,black136,black\black136,44100,1.06814059
137,black,1,black137,black\black137,44100,1.207460317
138,black,1,black138,black\black138,44100,1.114580499
139,black,1,black139,black\black139,44100,1.06814059
140,black,1,black140,black\black140,44100,1.161020408
141,black,1,black141,black\black141,44100,0.975260771
142,black,1,black142,black\black142,44100,0.882380952
143,black,1,black143,black\black143,44100,0.789501134
144,black,1,black144,black\black144,44100,0.975260771
145,black,1,black145,black\black145,44100,1.06814059
146,black,1,black146,black\black146,44100,1.02170068
147,black,1,black147,black\black147,44100,0.975260771
148,black,1,black148,black\black148,44100,0.975260771
149,black,1,black149,black\black149,44100,0.882380952
150,black,1,black150,black\black150,44100,0.975260771
151,black,1,black151,black\black151,44100,0.928820862
152,black,1,black152,black\black152,44100,1.06814059
153,black,1,black153,black\black153,44100,0.928820862
154,black,1,black154,black\black154,44100,1.253900227
155,black,1,black155,black\black155,44100,0.882380952
156,black,1,black156,black\black156,44100,1.114580499
157,black,1,black157,black\black157,44100,0.882380952
158,black,1,black158,black\black158,44100,0.928820862
159,black,1,black159,black\black159,44100,1.06814059
160,black,1,black160,black\black160,44100,0.835941043
161,black,1,black161,black\black161,44100,1.207460317
162,black,1,black162,black\black162,44100,1.06814059
163,black,1,black163,black\black163,44100,1.114580499
164,black,1,black164,black\black164,44100,1.02170068
165,black,1,black165,black\black165,44100,1.207460317
166,black,1,black166,black\black166,44100,0.928820862
167,black,1,black167,black\black167,44100,0.882380952
168,black,1,black168,black\black168,44100,2.229138322
169,black,1,black169,black\black169,44100,1.253900227
170,black,1,black170,black\black170,44100,0.975260771
171,black,1,black171,black\black171,44100,1.02170068
172,black,1,black172,black\black172,44100,0.928820862
173,black,1,black173,black\black173,44100,0.882380952
174,black,1,black174,black\black174,44100,0.882380952
175,black,1,black175,black\black175,44100,0.743061224
176,black,1,black176,black\black176,44100,0.835941043
177,black,1,black177,black\black177,44100,0.975260771
178,black,1,black178,black\black178,44100,0.882380952
179,black,1,black179,black\black179,44100,1.114580499
180,black,1,black180,black\black180,44100,0.975260771
181,black,1,black181,black\black181,44100,1.114580499
182,black,1,black182,black\black182,44100,1.114580499
183,black,1,black183,black\black183,44100,1.207460317
184,black,1,black184,black\black184,44100,1.161020408
185,black,1,black185,black\black185,44100,1.393219955
186,black,1,black186,black\black186,44100,1.300340136
187,black,1,black187,black\black187,44100,1.253900227
188,black,1,black188,black\black188,44100,1.207460317
189,black,1,black189,black\black189,44100,1.207460317
190,black,1,black190,black\black190,44100,1.06814059
191,black,1,black191,black\black191,44100,0.882380952
192,black,1,black192,black\black192,44100,0.975260771
193,black,1,black193,black\black193,44100,0.835941043
194,black,1,black194,black\black194,44100,0.975260771
195,black,1,black195,black\black195,44100,1.114580499
196,black,1,black196,black\black196,44100,1.02170068
197,black,1,black197,black\black197,44100,1.253900227
198,black,1,black198,black\black198,44100,1.114580499
199,black,1,black199,black\black199,44100,1.02170068
200,black,1,black200,black\black200,44100,0.928820862
201,black,1,black201,black\black201,44100,1.4338322
202,black,1,black202,black\black202,44100,1.4338322
203,black,1,black203,black\black203,44100,1.4338322
204,black,1,black204,black\black204,44100,1.4338322
205,black,1,black205,black\black205,44100,1.4338322
206,black,1,black206,black\black206,44100,1.4338322
207,black,1,black207,black\black207,44100,1.4338322
208,black,1,black208,black\black208,44100,1.4338322
209,black,1,black209,black\black209,44100,1.4338322
210,black,1,black210,black\black210,44100,1.4338322
211,black,1,black211,black\black211,44100,2.322018141
212,black,1,black212,black\black212,44100,2.322018141
213,black,1,black213,black\black213,44100,2.322018141
214,black,1,black214,black\black214,44100,2.322018141
215,black,1,black215,black\black215,44100,2.322018141
216,black,1,black216,black\black216,44100,2.322018141
217,black,1,black217,black\black217,44100,2.322018141
218,black,1,black218,black\black218,44100,2.322018141
219,black,1,black219,black\black219,44100,2.322018141
220,black,1,black220,black\black220,44100,2.322018141
221,black,1,black221,black\black221,44100,2.182698413
222,black,1,black222,black\black222,44100,2.182698413
223,black,1,black223,black\black223,44100,2.182698413
224,black,1,black224,black\black224,44100,2.182698413
225,black,1,black225,black\black225,44100,2.182698413
226,black,1,black226,black\black226,44100,2.182698413
227,black,1,black227,black\black227,44100,2.182698413
228,black,1,black228,black\black228,44100,2.182698413
229,black,1,black229,black\black229,44100,2.182698413
230,black,1,black230,black\black230,44100,2.182698413
231,black,1,black231,black\black231,44100,2.182698413
232,black,1,black232,black\black232,44100,2.182698413
233,black,1,black233,black\black233,44100,2.182698413
234,black,1,black234,black\black234,44100,2.182698413
235,black,1,black235,black\black235,44100,2.182698413
236,black,1,black236,black\black236,44100,2.182698413
237,black,1,black237,black\black237,44100,2.182698413
238,black,1,black238,black\black238,44100,2.182698413
239,black,1,black239,black\black239,44100,2.182698413
240,black,1,black240,black\black240,44100,2.182698413
241,black,1,black241,black\black241,44100,1.486099773
242,black,1,black242,black\black242,44100,1.486099773
243,black,1,black243,black\black243,44100,1.486099773
244,black,1,black244,black\black244,44100,1.486099773
245,black,1,black245,black\black245,44100,1.486099773
246,black,1,black246,black\black246,44100,1.486099773
247,black,1,black247,black\black247,44100,1.486099773
248,black,1,black248,black\black248,44100,1.486099773
249,black,1,black249,black\black249,44100,1.486099773
250,black,1,black250,black\black250,44100,1.486099773
251,black,1,black251,black\black251,44100,1.486099773
252,black,1,black252,black\black252,44100,1.486099773
253,black,1,black253,black\black253,44100,1.486099773
254,black,1,black254,black\black254,44100,1.486099773
255,black,1,black255,black\black255,44100,1.486099773
256,black,1,black256,black\black256,44100,1.486099773
257,black,1,black257,black\black257,44100,1.486099773
258,black,1,black258,black\black258,44100,1.486099773
259,black,1,black259,black\black259,44100,1.486099773
260,black,1,black260,black\black260,44100,1.486099773
261,black,1,black261,black\black261,44100,2.461337868
262,black,1,black262,black\black262,44100,2.461337868
263,black,1,black263,black\black263,44100,2.461337868
264,black,1,black264,black\black264,44100,2.461337868
265,black,1,black265,black\black265,44100,2.461337868
266,black,1,black266,black\black266,44100,2.461337868
267,black,1,black267,black\black267,44100,2.461337868
268,black,1,black268,black\black268,44100,2.461337868
269,black,1,black269,black\black269,44100,2.461337868
270,black,1,black270,black\black270,44100,2.461337868
271,black,1,black271,black\black271,44100,2.461337868
272,black,1,black272,black\black272,44100,2.461337868
273,black,1,black273,black\black273,44100,2.461337868
274,black,1,black274,black\black274,44100,2.461337868
275,black,1,black275,black\black275,44100,2.461337868
276,black,1,black276,black\black276,44100,2.461337868
277,black,1,black277,black\black277,44100,2.461337868
278,black,1,black278,black\black278,44100,2.461337868
279,black,1,black279,black\black279,44100,2.461337868
280,black,1,black280,black\black280,44100,2.461337868
281,black,1,black281,black\black281,44100,1.996938776
282,black,1,black282,black\black282,44100,1.996938776
283,black,1,black283,black\black283,44100,1.996938776
284,black,1,black284,black\black284,44100,1.996938776
285,black,1,black285,black\black285,44100,1.996938776
286,black,1,black286,black\black286,44100,1.996938776
287,black,1,black287,black\black287,44100,1.996938776
288,black,1,black288,black\black288,44100,1.996938776
289,black,1,black289,black\black289,44100,1.996938776
290,black,1,black290,black\black290,44100,1.996938776
291,black,1,black291,black\black291,44100,1.996938776
292,black,1,black292,black\black292,44100,1.996938776
293,black,1,black293,black\black293,44100,1.996938776
294,black,1,black294,black\black294,44100,1.996938776
295,black,1,black295,black\black295,44100,1.996938776
296,black,1,black296,black\black296,44100,1.996938776
297,black,1,black297,black\black297,44100,1.996938776
298,black,1,black298,black\black298,44100,1.996938776
299,black,1,black299,black\black299,44100,1.996938776
300,black,1,black300,black\black300,44100,1.996938776
301,black,1,black301,black\black301,44100,2.600657596
302,black,1,black302,black\black302,44100,2.600657596
303,black,1,black303,black\black303,44100,2.600657596
304,black,1,black304,black\black304,44100,2.600657596
305,black,1,black305,black\black305,44100,2.600657596
306,black,1,black306,black\black306,44100,2.600657596
307,black,1,black307,black\black307,44100,2.600657596
308,black,1,black308,black\black308,44100,2.600657596
309,black,1,black309,black\black309,44100,2.600657596
310,black,1,black310,black\black310,44100,2.600657596
311,black,1,black311,black\black311,44100,2.600657596
312,black,1,black312,black\black312,44100,2.600657596
313,black,1,black313,black\black313,44100,2.600657596
314,black,1,black314,black\black314,44100,2.600657596
315,black,1,black315,black\black315,44100,2.600657596
316,black,1,black316,black\black316,44100,2.600657596
317,black,1,black317,black\black317,44100,2.600657596
318,black,1,black318,black\black318,44100,2.600657596
319,black,1,black319,black\black319,44100,2.600657596
320,black,1,black320,black\black320,44100,2.600657596
321,black,1,black321,black\black321,44100,2.089818594
322,black,1,black322,black\black322,44100,2.089818594
323,black,1,black323,black\black323,44100,2.089818594
324,black,1,black324,black\black324,44100,2.089818594
325,black,1,black325,black\black325,44100,2.089818594
326,black,1,black326,black\black326,44100,2.089818594
327,black,1,black327,black\black327,44100,2.089818594
328,black,1,black328,black\black328,44100,2.089818594
329,black,1,black329,black\black329,44100,2.089818594
330,black,1,black330,black\black330,44100,2.089818594
331,black,1,black331,black\black331,44100,2.089818594
332,black,1,black332,black\black332,44100,2.089818594
333,black,1,black333,black\black333,44100,2.089818594
334,black,1,black334,black\black334,44100,2.089818594
335,black,1,black335,black\black335,44100,2.089818594
336,black,1,black336,black\black336,44100,2.089818594
337,black,1,black337,black\black337,44100,2.089818594
338,black,1,black338,black\black338,44100,2.089818594
339,black,1,black339,black\black339,44100,2.089818594
340,black,1,black340,black\black340,44100,2.089818594
341,black,1,black341,black\black341,44100,2.322018141
342,black,1,black342,black\black342,44100,2.322018141
343,black,1,black343,black\black343,44100,2.322018141
344,black,1,black344,black\black344,44100,2.322018141
345,black,1,black345,black\black345,44100,2.322018141
346,black,1,black346,black\black346,44100,2.322018141
347,black,1,black347,black\black347,44100,2.322018141
348,black,1,black348,black\black348,44100,2.322018141
349,black,1,black349,black\black349,44100,2.322018141
350,black,1,black350,black\black350,44100,2.322018141
351,black,1,black351,black\black351,44100,2.322018141
352,black,1,black352,black\black352,44100,2.322018141
353,black,1,black353,black\black353,44100,2.322018141
354,black,1,black354,black\black354,44100,2.322018141
355,black,1,black355,black\black355,44100,2.322018141
356,black,1,black356,black\black356,44100,2.322018141
357,black,1,black357,black\black357,44100,2.322018141
358,black,1,black358,black\black358,44100,2.322018141
359,black,1,black359,black\black359,44100,2.322018141
360,black,1,black360,black\black360,44100,2.322018141
361,black,1,black361,black\black361,44100,2.322018141
362,black,1,black362,black\black362,44100,2.322018141
363,black,1,black363,black\black363,44100,2.322018141
364,black,1,black364,black\black364,44100,2.322018141
365,black,1,black365,black\black365,44100,2.322018141
366,black,1,black366,black\black366,44100,2.322018141
367,black,1,black367,black\black367,44100,2.322018141
368,black,1,black368,black\black368,44100,2.322018141
369,black,1,black369,black\black369,44100,2.322018141
370,black,1,black370,black\black370,44100,2.322018141
371,black,1,black371,black\black371,44100,2.322018141
372,black,1,black372,black\black372,44100,2.322018141
373,black,1,black373,black\black373,44100,2.322018141
374,black,1,black374,black\black374,44100,2.322018141
375,black,1,black375,black\black375,44100,2.322018141
376,black,1,black376,black\black376,44100,2.322018141
377,black,1,black377,black\black377,44100,2.322018141
378,black,1,black378,black\black378,44100,2.322018141
379,black,1,black379,black\black379,44100,2.322018141
380,black,1,black380,black\black380,44100,2.322018141
381,black,1,black381,black\black381,44100,1.439659864
382,black,1,black382,black\black382,44100,1.439659864
383,black,1,black383,black\black383,44100,1.439659864
384,black,1,black384,black\black384,44100,1.439659864
385,black,1,black385,black\black385,44100,1.439659864
386,black,1,black386,black\black386,44100,1.439659864
387,black,1,black387,black\black387,44100,1.439659864
388,black,1,black388,black\black388,44100,1.439659864
389,black,1,black389,black\black389,44100,1.439659864
390,black,1,black390,black\black390,44100,1.439659864
391,black,1,black391,black\black391,44100,1.439659864
392,black,1,black392,black\black392,44100,1.439659864
393,black,1,black393,black\black393,44100,1.439659864
394,black,1,black394,black\black394,44100,1.439659864
395,black,1,black395,black\black395,44100,1.439659864
396,black,1,black396,black\black396,44100,1.439659864
397,black,1,black397,black\black397,44100,1.439659864
398,black,1,black398,black\black398,44100,1.439659864
399,black,1,black399,black\black399,44100,1.439659864
400,black,1,black400,black\black400,44100,1.439659864
401,black,1,black401,black\black401,44100,1.02170068
402,black,1,black402,black\black402,44100,1.02170068
403,black,1,black403,black\black403,44100,1.02170068
404,black,1,black404,black\black404,44100,1.02170068
405,black,1,black405,black\black405,44100,1.02170068
406,black,1,black406,black\black406,44100,1.02170068
407,black,1,black407,black\black407,44100,1.02170068
408,black,1,black408,black\black408,44100,1.02170068
409,black,1,black409,black\black409,44100,1.02170068
410,black,1,black410,black\black410,44100,1.02170068
411,black,1,black411,black\black411,44100,1.02170068
412,black,1,black412,black\black412,44100,1.02170068
413,black,1,black413,black\black413,44100,1.02170068
414,black,1,black414,black\black414,44100,1.02170068
415,black,1,black415,black\black415,44100,1.02170068
416,black,1,black416,black\black416,44100,1.02170068
417,black,1,black417,black\black417,44100,1.02170068
418,black,1,black418,black\black418,44100,1.02170068
419,black,1,black419,black\black419,44100,1.02170068
420,black,1,black420,black\black420,44100,1.02170068
421,black,1,black421,black\black421,44100,1.253900227
422,black,1,black422,black\black422,44100,1.253900227
423,black,1,black423,black\black423,44100,1.253900227
424,black,1,black424,black\black424,44100,1.253900227
425,black,1,black425,black\black425,44100,1.253900227
426,black,1,black426,black\black426,44100,1.253900227
427,black,1,black427,black\black427,44100,1.253900227
428,black,1,black428,black\black428,44100,1.253900227
429,black,1,black429,black\black429,44100,1.253900227
430,black,1,black430,black\black430,44100,1.253900227
431,black,1,black431,black\black431,44100,1.253900227
432,black,1,black432,black\black432,44100,1.253900227
433,black,1,black433,black\black433,44100,1.253900227
434,black,1,black434,black\black434,44100,1.253900227
435,black,1,black435,black\black435,44100,1.253900227
436,black,1,black436,black\black436,44100,1.253900227
437,black,1,black437,black\black437,44100,1.253900227
438,black,1,black438,black\black438,44100,1.253900227
439,black,1,black439,black\black439,44100,1.253900227
440,black,1,black440,black\black440,44100,1.253900227
441,black,1,black441,black\black441,44100,1.4338322
442,black,1,black442,black\black442,44100,1.4338322
443,black,1,black443,black\black443,44100,1.4338322
444,black,1,black444,black\black444,44100,1.4338322
445,black,1,black445,black\black445,44100,1.4338322
446,black,1,black446,black\black446,44100,1.4338322
447,black,1,black447,black\black447,44100,1.4338322
448,black,1,black448,black\black448,44100,1.4338322
449,black,1,black449,black\black449,44100,1.4338322
450,black,1,black450,black\black450,44100,1.4338322
451,black,1,black451,black\black451,44100,1.4338322
452,black,1,black452,black\black452,44100,1.4338322
453,black,1,black453,black\black453,44100,1.4338322
454,black,1,black454,black\black454,44100,1.4338322
455,black,1,black455,black\black455,44100,1.4338322
456,black,1,black456,black\black456,44100,1.4338322
457,black,1,black457,black\black457,44100,1.4338322
458,black,1,black458,black\black458,44100,1.4338322
459,black,1,black459,black\black459,44100,1.4338322
460,black,1,black460,black\black460,44100,1.4338322
461,black,1,black461,black\black461,44100,1.625419501
462,black,1,black462,black\black462,44100,1.625419501
463,black,1,black463,black\black463,44100,1.625419501
464,black,1,black464,black\black464,44100,1.625419501
465,black,1,black465,black\black465,44100,1.625419501
466,black,1,black466,black\black466,44100,1.625419501
467,black,1,black467,black\black467,44100,1.625419501
468,black,1,black468,black\black468,44100,1.625419501
469,black,1,black469,black\black469,44100,1.625419501
470,black,1,black470,black\black470,44100,1.625419501
471,black,1,black471,black\black471,44100,1.625419501
472,black,1,black472,black\black472,44100,1.625419501
473,black,1,black473,black\black473,44100,1.625419501
474,black,1,black474,black\black474,44100,1.625419501
475,black,1,black475,black\black475,44100,1.625419501
476,black,1,black476,black\black476,44100,1.625419501
477,black,1,black477,black\black477,44100,1.625419501
478,black,1,black478,black\black478,44100,1.625419501
479,black,1,black479,black\black479,44100,1.625419501
480,black,1,black480,black\black480,44100,1.625419501
481,black,1,black481,black\black481,44100,1.486099773
482,black,1,black482,black\black482,44100,1.486099773
483,black,1,black483,black\black483,44100,1.486099773
484,black,1,black484,black\black484,44100,1.486099773
485,black,1,black485,black\black485,44100,1.486099773
486,black,1,black486,black\black486,44100,1.486099773
487,black,1,black487,black\black487,44100,1.486099773
488,black,1,black488,black\black488,44100,1.486099773
489,black,1,black489,black\black489,44100,1.486099773
490,black,1,black490,black\black490,44100,1.486099773
491,black,1,black491,black\black491,44100,1.486099773
492,black,1,black492,black\black492,44100,1.486099773
493,black,1,black493,black\black493,44100,1.486099773
494,black,1,black494,black\black494,44100,1.486099773
495,black,1,black495,black\black495,44100,1.486099773
496,black,1,black496,black\black496,44100,1.486099773
497,black,1,black497,black\black497,44100,1.486099773
498,black,1,black498,black\black498,44100,1.486099773
499,black,1,black499,black\black499,44100,1.486099773
500,black,1,black500,black\black500,44100,1.486099773
501,black,1,black501,black\black501,44100,2.322018141
502,black,1,black502,black\black502,44100,2.322018141
503,black,1,black503,black\black503,44100,2.322018141
504,black,1,black504,black\black504,44100,2.322018141
505,black,1,black505,black\black505,44100,2.322018141
506,black,1,black506,black\black506,44100,2.322018141
507,black,1,black507,black\black507,44100,2.322018141
508,black,1,black508,black\black508,44100,2.322018141
509,black,1,black509,black\black509,44100,2.322018141
510,black,1,black510,black\black510,44100,2.322018141
511,black,1,black511,black\black511,44100,2.322018141
512,black,1,black512,black\black512,44100,2.322018141
513,black,1,black513,black\black513,44100,2.322018141
514,black,1,black514,black\black514,44100,2.322018141
515,black,1,black515,black\black515,44100,2.322018141
516,black,1,black516,black\black516,44100,2.322018141
517,black,1,black517,black\black517,44100,2.322018141
518,black,1,black518,black\black518,44100,2.322018141
519,black,1,black519,black\black519,44100,2.322018141
520,black,1,black520,black\black520,44100,2.322018141
521,black,1,black521,black\black521,44100,2.322018141
522,black,1,black522,black\black522,44100,2.322018141
523,black,1,black523,black\black523,44100,2.322018141
524,black,1,black524,black\black524,44100,2.322018141
525,black,1,black525,black\black525,44100,2.322018141
526,black,1,black526,black\black526,44100,2.322018141
527,black,1,black527,black\black527,44100,2.322018141
528,black,1,black528,black\black528,44100,2.322018141
529,black,1,black529,black\black529,44100,2.322018141
530,black,1,black530,black\black530,44100,2.322018141
531,black,1,black531,black\black531,44100,2.322018141
532,black,1,black532,black\black532,44100,2.322018141
533,black,1,black533,black\black533,44100,2.322018141
534,black,1,black534,black\black534,44100,2.322018141
535,black,1,black535,black\black535,44100,2.322018141
536,black,1,black536,black\black536,44100,2.322018141
537,black,1,black537,black\black537,44100,2.322018141
538,black,1,black538,black\black538,44100,2.322018141
539,black,1,black539,black\black539,44100,2.322018141
540,black,1,black540,black\black540,44100,2.322018141
541,black,1,black541,black\black541,44100,1.439659864
542,black,1,black542,black\black542,44100,1.439659864
543,black,1,black543,black\black543,44100,1.439659864
544,black,1,black544,black\black544,44100,1.439659864
545,black,1,black545,black\black545,44100,1.439659864
546,black,1,black546,black\black546,44100,1.439659864
547,black,1,black547,black\black547,44100,1.439659864
548,black,1,black548,black\black548,44100,1.439659864
549,black,1,black549,black\black549,44100,1.439659864
550,black,1,black550,black\black550,44100,1.439659864
551,black,1,black551,black\black551,44100,1.439659864
552,black,1,black552,black\black552,44100,1.439659864
553,black,1,black553,black\black553,44100,1.439659864
554,black,1,black554,black\black554,44100,1.439659864
555,black,1,black555,black\black555,44100,1.439659864
556,black,1,black556,black\black556,44100,1.439659864
557,black,1,black557,black\black557,44100,1.439659864
558,black,1,black558,black\black558,44100,1.439659864
559,black,1,black559,black\black559,44100,1.439659864
560,black,1,black560,black\black560,44100,1.439659864
561,black,1,black561,black\black561,44100,1.02170068
562,black,1,black562,black\black562,44100,1.02170068
563,black,1,black563,black\black563,44100,1.02170068
564,black,1,black564,black\black564,44100,1.02170068
565,black,1,black565,black\black565,44100,1.02170068
566,black,1,black566,black\black566,44100,1.02170068
567,black,1,black567,black\black567,44100,1.02170068
568,black,1,black568,black\black568,44100,1.02170068
569,black,1,black569,black\black569,44100,1.02170068
570,black,1,black570,black\black570,44100,1.02170068
571,black,1,black571,black\black571,44100,1.02170068
572,black,1,black572,black\black572,44100,1.02170068
573,black,1,black573,black\black573,44100,1.02170068
574,black,1,black574,black\black574,44100,1.02170068
575,black,1,black575,black\black575,44100,1.02170068
576,black,1,black576,black\black576,44100,1.02170068
577,black,1,black577,black\black577,44100,1.02170068
578,black,1,black578,black\black578,44100,1.02170068
579,black,1,black579,black\black579,44100,1.02170068
580,black,1,black580,black\black580,44100,1.02170068
581,black,1,black581,black\black581,44100,1.253900227
582,black,1,black582,black\black582,44100,1.253900227
583,black,1,black583,black\black583,44100,1.253900227
584,black,1,black584,black\black584,44100,1.253900227
585,black,1,black585,black\black585,44100,1.253900227
586,black,1,black586,black\black586,44100,1.253900227
587,black,1,black587,black\black587,44100,1.253900227
588,black,1,black588,black\black588,44100,1.253900227
589,black,1,black589,black\black589,44100,1.253900227
590,black,1,black590,black\black590,44100,1.253900227
591,black,1,black591,black\black591,44100,1.253900227
592,black,1,black592,black\black592,44100,1.253900227
593,black,1,black593,black\black593,44100,1.253900227
594,black,1,black594,black\black594,44100,1.253900227
595,black,1,black595,black\black595,44100,1.253900227
596,black,1,black596,black\black596,44100,1.253900227
597,black,1,black597,black\black597,44100,1.253900227
598,black,1,black598,black\black598,44100,1.253900227
599,black,1,black599,black\black599,44100,1.253900227
600,black,1,black600,black\black600,44100,1.253900227
601,black,1,black601,black\black601,44100,1.4338322
602,black,1,black602,black\black602,44100,1.625419501
603,black,1,black603,black\black603,44100,1.486099773
604,black,1,black604,black\black604,44100,4.040294785
